Drawing_Type,Purpose_of_Building,Client_Name,Project_Title,Drawing_Title,Notes_on_Drawing,Table_on_Drawing,Space_Classification.Communal,Space_Classification.Private,Space_Classification.Service,Details.Drawing_Number,Details.Project_Number,Details.Revision_Number,Details.Scale,Details.Architects,Additional_Details.Number_of_Units,Additional_Details.Number_of_Stairs,Additional_Details.Number_of_Elevators,Additional_Details.Number_of_Hallways,Additional_Details.Unit_Details,Additional_Details.Stairs_Details,Additional_Details.Elevator_Details,Additional_Details.Hallways,Additional_Details.Other_Common_Areas
Section_View,Residential,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산 상가-1 단면도-3 (근린 생활시설 -3),"1. 옥상 줄눈의 간격 등은 실시공시 변경될 수 있음.
2. 옥상 줄눈는 몸에 실란드 시공되지 않음.
3. 지붕의 재료, 형태, 구조는 실시공시 변경될 수 있음.
4. 지붕층 난간의 형태와 설치 위치는 안전성과 입면 디자인을 고려하여 변경 가능함.
5. 단열재의 종류는 단열성능관계내역 참조.
6. 도면상 표기원 옥상 및 지하의 무근콘크리트 두께는 평균 두께를 말하며 본시공시 구배를 고려하여 두께의 증감이 있을 수 있음.
7. 외벽 단열 부분과 환기덕트가 연결되는 부위는 기밀하게 마감한다.",N/A,[],[],[],A51-2023,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Floor_Plan,Residential,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,지하3층 코아 평면상세도,N/A,N/A,[],[],[],A51-2002,N/A,0,"A1 : 1/50, A3 : 1/100",['Unknown'],0,0,0,0,[],[],[],[],[]
Floor_Plan,Residential,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산 상가-1 코아 평면상세도-2 (근린생활시설-3),N/A,N/A,[],[],[],A51-2032,N/A,0,"A1 : 1/50, A3 : 1/100",['Unknown'],0,0,0,0,[],[],[],[],[]
Floor_Plan,Mixed-use,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산 상가-1 코아 평면상세도-2 (근린생활시설-3),N/A,N/A,[],[],[],A51-2033,N/A,0,"A1 : 1/50, A3 : 1/100",['Unknown'],0,0,0,0,[],[],[],[],[]
Section_View,Residential,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산 상가-1 ELEV.#1 단면상세도 (근린생활시설-3),N/A,N/A,[],[],[],A51-2034,N/A,0,"A1 : 1/50
A3 : 1/100",['Unknown'],0,0,0,0,[],[],[],[],[]
Section_View,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 주차경사로 단면도 (근린생활시설-3),N/A,N/A,[],[],[],A51-2053,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Floor_Plan,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 주차경사로 평면도-2 (근린생활시설-3),1. 층별 LEVEL 기준 - 1층 LEVEL SL±0 = FL±0 = EL+21.00(GL±0) 2. 단열재의 종류는 단열성능관계내역 참조. 3. 도면상 표기된 옥상 및 지하의 무근콘크리트 두께는 평균 두께를 말하며 본시공시 구매를 고려하여 두께의 증감이 있을 수 있음.,N/A,[],[],['Parking'],A51-2052,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Floor_Plan,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 주차경사로 평면도-1 (근린생활시설-3),"1. 층별 LEVEL 기준
- 지하3층 LEVEL
SL±0 = FL±0 = EL+7.80
- 지하2층 LEVEL
SL±0 = FL±0 = EL+11.60
- 지하1층 LEVEL
SL±0 = FL±0 = EL+15.50
2. 단열재의 종류는 단열성능관계내역 참조.
3. 도면상 표기된 옥상 및 지하의 무근콘크리트 두께는 평균 두께를 말하며 본시공시 구배를 고려하여 두께의 증감이 있을 수 있음.",N/A,[],[],['parking'],A51-2051,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Section_View,Mixed-use,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산 상가-1 코아 단면상세도 (근린생활시설-3),N/A,N/A,[],[],[],A51-2035,N/A,0,"A1 : 1/50, A3 : 1/100",['Unknown'],0,0,0,0,[],[],[],[],[]
Detail_View,Residential,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,"D.A 단면상세도-3, 4","1. 층별 LEVEL 기준
- 지하3층(SL-2100) LEVEL
SL±0 = FL±0 = EL+5.70
- 지하3층 LEVEL
SL±0 = FL±0 = EL+7.80
- 지하2층 LEVEL
SL±0 = FL±0 = EL+11.60
- 지하1층 LEVEL
SL±0 = FL±0 = EL+15.50
- 1층 LEVEL
SL±0 = FL±0 = EL+21.00(GL±0)
2. 단열재의 종류는 단열성능관계내역 참조.
3. 도면상 표기된 목살 및 지하외 무근콘크리트 두께는 평균 두께를 말하며 분시공시 구배를 고려하여 두께의 증감이 있을 수 있음.",N/A,[],[],[],7,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Detail_View,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,"분산상가-1 외부계단 평,단면상세도 (근린생활시설-3)","1. 층별 LEVEL 기준
- 지하1층 LEVEL
 SL±0 = FL±0 = EL+15.50
- 1층 LEVEL
 SL±0 = FL±0 = EL+21.00(GL±0)
2. 단열재의 종류는 단열성능관계내역 참조.
3. 도면상 표기된 옥상 및 지하의 무근콘크리트 두께는 평균 두께를 말하며 본공시 구배를 고려하여 두께의 증감이 있을 수 있음.",N/A,"['hallways', 'staircases']",[],[],A51-2041,N/A,0,"A1 : 1/50, A3 : 1/100",['Unknown'],0,0,0,0,[],"[{'Location': 'N/A', 'Purpose': 'N/A'}, {'Location': 'N/A', 'Purpose': 'N/A'}]","[{'Location': 'N/A', 'Purpose': 'N/A'}, {'Location': 'N/A', 'Purpose': 'N/A'}]","[{'Location': 'N/A', 'Approx_Area': 'N/A'}]",[]
Mixed,Residential,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,Mixed Drawing,N/A,N/A,[],[],[],N/A,N/A,0,"A1 : 1/60, A3 : 1/120",['Unknown'],0,0,0,0,[],[],[],[],[]
Mixed,Residential,둔촌주공아파트주택 재건축정비사업조합,N/A,N/A,N/A,N/A,[],[],[],N/A,N/A,0,"A1 : 1/60, A3 : 1/120",['Unknown'],0,0,0,0,[],[],[],[],[]
Mixed,Residential,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,N/A,N/A,N/A,[],[],[],N/A,N/A,0,"A1 : 1/60, A3 : 1/120",['Unknown'],0,0,0,0,[],[],[],[],[]
Unknown,Residential,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,N/A,N/A,N/A,[],[],[],N/A,N/A,0,"A1 : 1/60, A3 : 1/120",['Unknown'],0,0,0,0,[],[],[],[],[]
Floor_Plan,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 지하3층 평면도 (근린생활시설-3),N/A,N/A,[],[],[],A51-2002,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Mixed,Residential,둔촌주공아파트주택 재건축정비사업조합,N/A,N/A,N/A,N/A,[],[],[],N/A,N/A,0,"A1 : 1/60, A3 : 1/120",['Unknown'],0,0,0,0,[],[],[],[],[]
Floor_Plan,Residential,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,"분산상가-1 지하3층 창호 부호 평면도 (SL-2,100)(근린생활시설-3)",N/A,N/A,[],[],[],A51-2091,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Floor_Plan,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 지하3층 창호 부호 평면도 (근린생활시설-3),N/A,N/A,[],[],[],A51-2092,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Floor_Plan,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 지하2층 창호 부호 평면도 (근린생활시설-3),N/A,N/A,[],[],[],A51-2093,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Floor_Plan,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 지하2층 평면도 (근린생활시설-3),"층별 LEVEL 기준 - 지하2층 LEVEL SL±0 = FL±0 = EL+11.60 옥상 줄눈의 간격 등은 실시공시 변경될 수 있음. 옥상 줄눈 틈에 실란트 시공되지 않음. 지붕의 재료, 형태, 구조는 실시공시 변경될 수 있음. 지붕 툇마루 난간의 형태와 설치 위치는 안전성과 입면 디자인을 고려하여 변경 가능함. 단열재의 종류는 단열성능관계내역 참조. 도면상 표기된 옥상 및 지하의 무근콘크리트 두께는 평균 두께를 말하며 본시공시 구매를 고려하여 두께의 증감이 있을 수 있음. 지하주차장 참조. 장비반입구 덮개는 국토교통부고시 건축구조기준 지붕부분 기본등분포활하중 최소 5kN/m2 이상을 만족하는 구조로 시공할 것.",N/A,[],[],[],A51-2003,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Floor_Plan,Residential,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 3층 창호 부호 평면도 (근린생활시설-3),N/A,N/A,[],[],[],A51-2097,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Elevation,Residential,둔촌주공아파트주택 재건축정비사업조합,N/A,N/A,N/A,N/A,[],[],[],N/A,N/A,0,N/A,['Unknown'],0,0,0,0,[],[],[],[],[]
Elevation,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 창호입면도-5 (근린생활시설-3),N/A,N/A,[],[],[],A51-2105,N/A,0,"A1 : 1/60, A3 : 1/120",['Unknown'],0,0,0,0,[],[],[],[],[]
Elevation,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 창호입면도-4 (근린생활시설-3),N/A,N/A,[],[],[],A51-2104,N/A,0,"A1 : 1/60, A3 : 1/120",['Unknown'],15,0,0,0,[],[],[],[],[]
Elevation,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 창호입면도-6 (근린생활시설-3),N/A,N/A,[],[],[],A51-2106,N/A,0,"A1 : 1/50, A3 : 1/100",['Unknown'],0,0,0,0,[],[],[],[],[]
Floor_Plan,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 지하1층 창호 부호 평면도 (근린생활시설-3),N/A,N/A,[],[],"['화장실(여)', '화장실(남)']",A51-2094,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Floor_Plan,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 1층 창호 부호 평면도 (근린생활시설-3),N/A,N/A,[],[],[],A51-2095,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Floor_Plan,Mixed-use,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 2층 창호 부호 평면도 (근린생활시설-3),N/A,N/A,[],[],[],A51-2096,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Floor_Plan,Residential,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 4층 창호 부호 평면도 (근린생활시설-3),N/A,N/A,[],[],[],A51-2098,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Elevation,Residential,둔촌주공아파트주택 재건축정비사업조합,N/A,N/A,N/A,N/A,[],[],[],N/A,N/A,0,N/A,['Unknown'],39,0,0,0,[],[],[],[],[]
Elevation,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 창호입면도-7 (근린생활시설-3),N/A,N/A,[],[],[],A51-2107,N/A,0,"A1 : 1/50, A3 : 1/100",['Unknown'],0,0,0,0,[],[],[],[],[]
Elevation,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 창호입면도-8 (근린생활시설-3),N/A,N/A,[],[],[],A51-2108,N/A,0,"A1 : 1/50, A3 : 1/100",['Unknown'],0,0,0,0,[],[],[],[],[]
Elevation,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 창호입면도-2 (근린생활시설-3),N/A,N/A,[],[],[],N/A,N/A,0,N/A,['Unknown'],0,0,0,0,[],[],[],[],[]
Elevation,Residential,둔촌주공아파트주택 재건축정비사업조합,N/A,N/A,N/A,N/A,[],[],[],N/A,N/A,0,N/A,['Unknown'],8,0,0,0,"[{'Unit_Number': 'N/A', 'Unit_Area': 'N/A', 'Bedrooms': 0, 'Bathrooms': 0, 'Has_Living_Room': False, 'Has_Kitchen': False, 'Has_Balcony': False, 'Special_Features': []}, {'Unit_Number': 'N/A', 'Unit_Area': 'N/A', 'Bedrooms': 0, 'Bathrooms': 0, 'Has_Living_Room': False, 'Has_Kitchen': False, 'Has_Balcony': False, 'Special_Features': []}, {'Unit_Number': 'N/A', 'Unit_Area': 'N/A', 'Bedrooms': 0, 'Bathrooms': 0, 'Has_Living_Room': False, 'Has_Kitchen': False, 'Has_Balcony': False, 'Special_Features': []}, {'Unit_Number': 'N/A', 'Unit_Area': 'N/A', 'Bedrooms': 0, 'Bathrooms': 0, 'Has_Living_Room': False, 'Has_Kitchen': False, 'Has_Balcony': False, 'Special_Features': []}, {'Unit_Number': 'N/A', 'Unit_Area': 'N/A', 'Bedrooms': 0, 'Bathrooms': 0, 'Has_Living_Room': False, 'Has_Kitchen': False, 'Has_Balcony': False, 'Special_Features': []}, {'Unit_Number': 'N/A', 'Unit_Area': 'N/A', 'Bedrooms': 0, 'Bathrooms': 0, 'Has_Living_Room': False, 'Has_Kitchen': False, 'Has_Balcony': False, 'Special_Features': []}, {'Unit_Number': 'N/A', 'Unit_Area': 'N/A', 'Bedrooms': 0, 'Bathrooms': 0, 'Has_Living_Room': False, 'Has_Kitchen': False, 'Has_Balcony': False, 'Special_Features': []}, {'Unit_Number': 'N/A', 'Unit_Area': 'N/A', 'Bedrooms': 0, 'Bathrooms': 0, 'Has_Living_Room': False, 'Has_Kitchen': False, 'Has_Balcony': False, 'Special_Features': []}]",[],[],[],[]
Floor_Plan,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 지하1층 평면도 (근린생활시설-3),"1. 층별 LEVEL 기준
- 지하1층 LEVEL
- SL±0 = FL±0 = EL+15.50
2. 옥상 춤눈의 간격은 실시공시 변경될 수 있음.
3. 옥상 춤는 픔에 실린드 시공되지 않음.
4. 지붕의 재료, 형태, 구조는 실시공시 변경될 수 있음.
5. 지붕층 난간의 형태와 설치 위치는 안전성과 엽면 디자인을 고려하여 변경 가능함.
6. 단열재의 종류는 단열성능관계내역 참조.
7. 도면상 표기된 옥상 및 지하의 무근콘크리트 두께는 평균 두께를 말하며 본시공 구배를 고려하여 두께의 증감이 있을 수 있음.
8.   : 지하주차장 참조.",N/A,[],[],[],A51-2004,N/A,0,"A1 : 1/100, A3 : 1/200",['Unknown'],0,0,0,0,[],[],[],[],[]
Elevation,Residential,둔촌주공아파트주택 재건축정비사업조합,N/A,N/A,N/A,N/A,[],[],[],N/A,N/A,0,N/A,['Unknown'],0,0,0,0,[],[],[],[],[]
Unknown,Residential,둔촌주공아파트주택 재건축정비사업조합,N/A,N/A,N/A,N/A,[],[],[],N/A,N/A,0,N/A,['Unknown'],0,0,0,0,[],[],[],[],[]
Detail_View,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 창호상세도-4 (근린생활시설-3),N/A,N/A,[],[],[],A51-2124,N/A,0,"A1 : 1/3, A3 : 1/6",['Unknown'],0,0,0,0,[],[],[],[],[]
Floor_Plan,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 화장실 상세 및 전개도-1 (판매 및 근린생활시설-3),N/A,N/A,[],[],['bathrooms'],A51-2211,N/A,0,"A1 : 1/50, A3 : 1/100",['Unknown'],0,0,0,0,[],[],[],[],[]
Unknown,Residential,둔촌주공아파트주택 재건축정비사업조합,N/A,N/A,N/A,N/A,[],[],[],N/A,N/A,0,N/A,['Unknown'],0,0,0,0,[],[],[],[],[]
Unknown,Residential,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,N/A,N/A,N/A,[],[],[],N/A,N/A,0,N/A,['Unknown'],0,0,0,0,[],[],[],[],[]
Unknown,Residential,둔촌주공아파트주택 재건축정비사업조합,N/A,N/A,N/A,N/A,[],[],[],N/A,N/A,0,N/A,['Unknown'],0,0,0,0,[],[],[],[],[]
Floor_Plan,Residential,둔촌주공아파트주택 재건축정비사업조합,N/A,화장실 평면상세도(지상1층),N/A,N/A,[],[],['bathrooms'],1,N/A,0,"A1 : 1/50, A3 : 1/100",['Unknown'],0,0,0,0,[],[],[],[],[]
Floor_Plan,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,화장실 평면상세도(지상2층~지상3층),N/A,N/A,[],[],['bathrooms'],1,N/A,0,"A1 : 1/50, A3 : 1/100",['Unknown'],0,0,0,0,[],[],[],[],[]
Detail_View,Commercial,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 창호상세도-1 (근린생활시설-3),N/A,N/A,[],[],[],A51-2121,N/A,0,"A1 : 1/3, A3 : 1/6",['Unknown'],0,0,0,0,[],[],[],[],[]
Section_View,Residential,둔촌주공아파트주택 재건축정비사업조합,둔촌주공아파트 주택재건축정비사업,분산상가-1 창호상세도-2 (근린생활시설-3),N/A,N/A,[],[],[],A51-2122,N/A,0,"A1 : 1/3, A3 : 1/6",['Unknown'],0,0,0,0,[],[],[],[],[]
